//X Y Z R G B
50248
-0.97262478 -1.18212509 -5.06595707 0 0 110
-0.95693296 -1.14657104 -5.06543303 0 0 128
-0.92700762 -1.15527034 -5.06320858 0 0 138
-1.04526007 -1.4102391 -5.06384993 0 0 148
-1.59535754 -4.51775074 -5.052526 110 0 0
-1.1160717 -4.49595594 -5.05761671 0 0 152
-1.33922851 -3.50761342 -5.05853987 102 0 0
-0.92474234 -0.8715263 -5.06549501 0 0 116
-1.35958409 -3.54593849 -5.06113338 181 0 0
-1.42996693 -5.96098995 -5.05202723 0 0 146
-0.88418019 -7.00977278 -5.04584455 0 0 114
-0.88957185 -7.07233572 -5.04573154 0 0 141
-0.90902317 -0.82386178 -5.06349087 0 0 102
-0.89260238 -7.10697269 -5.04623175 0 0 118
-0.8638218 -0.80910057 -5.06526423 0 0 132
-1.41350734 -7.21011829 -5.04719591 0 0 119
-1.27097189 -3.64384866 -5.05575514 127 0 0
-0.90391487 -0.85563165 -5.06440306 0 0 141
-1.39321208 -7.19568157 -5.04783535 0 0 144
-1.3038727 -3.45995092 -5.05850887 96 0 0
-1.55375969 -4.57448435 -5.05281115 130 0 0
-1.4824698 -4.57842398 -5.05668259 0 0 127
-1.02784777 -4.29938793 -5.05667114 0 0 131
-1.50254524 -4.5069294 -5.05694008 0 0 124
-1.50050271 -4.52552176 -5.05674553 0 0 131
-1.30055952 -3.72285938 -5.05509281 95 0 0
-1.3608638 -1.87256885 -5.06282663 0 0 146
-1.2505461 -5.8611083 -5.05327988 0 0 134
-1.25175929 -5.86928082 -5.05295658 0 0 137
-0.85775846 -7.38623524 -5.0479846 0 0 141
-1.38072479 -1.96680427 -5.06131268 0 0 143
-1.21713066 -3.55744362 -5.05800867 0 0 66
-1.304968 -1.90693641 -5.06266117 0 0 138
-1.02418208 -4.42827463 -5.05445099 79 0 0
-0.70119745 -7.38142872 -5.04571629 0 0 145
-1.35965538 -1.96736228 -5.06176043 0 0 135
-1.31421721 -6.03455544 -5.05151463 0 0 143
-0.8476516 -4.29973745 -5.05718803 0 0 138
-1.29235339 -6.04716396 -5.05062914 0 0 124
-1.27437854 -1.81442535 -5.06219006 0 0 153
-1.26425433 -1.81122351 -5.06185484 0 0 151
-0.87807846 -4.31105852 -5.05747652 0 0 145
-1.35879898 -6.07186651 -5.05391455 0 0 127
-1.28859997 -1.82284808 -5.06302214 0 0 149
-0.67053968 -0.78852057 -5.0658493 0 0 151
-1.36028159 -6.12502337 -5.05215406 0 0 134
-0.64926583 -0.79648304 -5.06798077 0 0 135
-0.68871647 -0.82342106 -5.06724834 0 0 145
-0.79807228 -4.30830002 -5.05579138 0 0 140
-1.33558059 -6.18374157 -5.04982948 0 0 142
-1.34766054 -6.16081142 -5.04949045 0 0 112
-1.3703171 -6.18529224 -5.04976559 0 0 124
-1.35546482 -6.21243048 -5.05070162 0 0 110
-1.33570683 -4.0275445 -5.05394888 120 0 0
-0.85092998 -4.37538099 -5.05436468 0 0 96
-1.41048384 -4.74167871 -5.05427885 0 0 131
-1.32280684 -6.06859732 -5.05111313 0 0 138
-1.33282721 -6.06611967 -5.05225992 0 0 150
-1.14852369 -3.32565045 -5.05909967 0 0 79
-0.62376136 -0.80079442 -5.06743717 0 0 138
